n,fail,reward,coins_mean,coins_p10,coins_p90,earned,spent,fails,boosters,walls,broke
147,0.62,19,79,38,116,25.9,32.8,0.79,0.32,0.307,1.163
148,0.9,19,73,34,107,22.6,28.3,1.36,0.283,0.637,1.44
149,0.66,19,75,30,114,22.8,21.3,0.937,0.213,0.37,1.353
150,0.92,19,67,32,108,21.4,29.3,1.45,0.293,0.7,1.457
151,0.535,19,73,37,110,22.6,16.3,0.75,0.163,0.28,1.307
152,0.665,19,75,33,112,22.3,20,1.04,0.2,0.427,1.413
153,0.435,19,135,46,238,212.3,152.9,0.273,1.123,0.067,0.083
154,0.365,19,87,40,125,28.2,76.1,0.3,0.68,0.073,0.547
155,0.275,19,84,44,123,29.8,32.1,0.317,0.313,0.07,0.933
156,0.4,19,82,39,120,29.9,32,0.443,0.32,0.13,0.993
157,0.765,19,72,35,112,24.7,35.3,1.153,0.353,0.513,1.287
158,0.66,19,75,35,114,23.3,19.7,1.027,0.197,0.43,1.4
159,0.625,19,75,35,114,23,23,0.897,0.23,0.35,1.317
160,0.985,19,71,32,110,20.5,24.7,1.683,0.247,0.833,1.603
161,0.76,19,117,36,210,208.5,162.1,0.51,1.24,0.16,0.11
162,0.78,19,80,38,122,24.6,61.7,0.833,0.583,0.363,0.887
163,0.42,19,76,35,113,25.6,30,0.53,0.3,0.15,1.08
164,0.66,19,75,37,114,24.6,25,0.91,0.25,0.373,1.287
165,0.66,19,73,35,110,22.7,24.7,1.007,0.247,0.373,1.387
166,0.505,19,71,31,110,23.8,26,0.573,0.26,0.17,1.143
167,0.7,19,74,36,111,22.5,20,1.087,0.2,0.437,1.45
168,0.73,19,70,32,109,21.9,26,1.087,0.26,0.45,1.377
169,0.57,19,131,44,224,210.7,149.7,0.273,1.12,0.063,0.09
170,0.775,19,78,34,120,25.1,78.1,0.87,0.693,0.39,0.787
171,0.745,19,76,38,111,23.5,25.7,1.093,0.257,0.477,1.36
172,0.595,19,77,35,114,23.3,21.3,0.927,0.213,0.35,1.363
173,0.35,19,72,30,111,25.2,31,0.38,0.31,0.087,0.983
174,0.065,19,101,58,141,29.3,0,0.057,0,0,0
175,0.685,20,76,40,113,27.8,53,0.793,0.53,0.317,0.947
176,0.435,20,83,41,118,27.4,20.3,0.56,0.203,0.173,1.183
177,0.8,20,128,44,222,214.8,169.5,0.5,1.183,0.17,0.147
178,0.8,20,83,38,130,27,72.3,0.847,0.65,0.36,0.837
179,0.665,20,76,37,112,26.2,33.3,0.777,0.33,0.297,1.15
180,0.75,20,77,34,115,24,22.3,1.107,0.223,0.467,1.417
181,0.61,20,75,35,115,24.4,26.7,0.797,0.267,0.297,1.233
182,0.93,20,69,32,108,21.9,28.3,1.517,0.283,0.737,1.497
